id,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName
MR,50,Isahella,Darlene,Bang,Female,1967/11/15,5,Suite 21,Chadstone,19,VIC,95,33,Suite 83,Glen Waverley,714,QLD,8516783375,9746289428,dbang1d@craigslist.org,Sturt
MISS,51,Saloma,Chastity,Farmloe,Female,1992/12/15,6,Room 1049,Chadstone,456,QLD,36,88,PO Box 74025,Chadstone,518,ACT,3795221886,8067696305,cfarmloe1e@macromedia.com,Maribyrnong
MR,52,Beau,Dominick,Venny,Male,1995/10/28,4,Room 231,Chadstone,1000,NT,20,61,Suite 39,Chadstone,599,ACT,4177057433,2697119457,dvenny1f@xrea.com,Page
MR,53,Pansy,Moselle,Krysztowczyk,Female,1997/10/02,12,18th Floor,Chadstone,507,VIC,49,96,Suite 24,Glen Waverley,567,ACT,9165899718,5412883314,mkrysztowczyk1g@pcworld.com,Wannon
MR,54,Alfy,Samson,Trustey,Male,1993/02/07,8,Suite 68,Chadstone,346,VIC,1,57,PO Box 1997,Glen Waverley,864,QLD,2798712434,2456527961,strustey1h@webs.com,Kingsford Smith
MR,55,Correy,Shannon,Carmo,Male,1986/04/22,7,PO Box 39899,Chadstone,663,NSW,64,6,Suite 92,Glen Waverley,403,WA,9765744401,1316621277,scarmo1i@comsenz.com,Corio
MISS,56,Jilleen,Ange,Wainscot,Female,1983/11/07,2,PO Box 86483,Chadstone,461,QLD,68,71,Room 944,Glen Waverley,318,SA,6005149079,6358741723,awainscot1j@mac.com,Barton
MISS,57,Donal,Dominick,Gatus,Male,1974/01/13,5,Room 1776,Chadstone,436,WA,38,46,Suite 23,Glen Waverley,381,NSW,4282249695,3475802057,dgatus1k@ucla.edu,Corio
MISS,58,Sabra,Misha,Silveston,Female,1977/06/15,4,6th Floor,Chadstone,512,SA,56,7,Room 1524,Chadstone,285,VIC,2697904099,5291149396,msilveston1l@globo.com,Grey
MISS,59,Dinnie,Mathilde,Wildey,Genderfluid,2002/04/20,5,Apt 264,Chadstone,424,SA,55,4,Apt 522,Chadstone,597,QLD,2934295696,1367980362,mwildey1m@smugmug.com,Bean
MISS,60,Joell,Maybelle,Tarquinio,Female,2005/10/28,6,2nd Floor,Chadstone,676,WA,86,59,Room 919,Glen Waverley,859,ACT,6595345643,6676947461,mtarquinio1n@123-reg.co.uk,Flynn
MR,61,Brooks,Garrett,Oles,Male,1992/05/26,10,Suite 18,Chadstone,267,NT,75,31,Room 333,Glen Waverley,902,VIC,9552551075,9172355619,goles1o@java.com,Aston
MISS,62,Norine,Arlette,Govan,Female,1964/03/12,5,PO Box 24338,Chadstone,131,NSW,66,86,PO Box 60519,Chadstone,306,ACT,6492752639,9229448812,agovan1p@com.com,Longman
MISS,63,Nydia,Joannes,Cicchillo,Female,1995/11/24,12,Room 993,Chadstone,32,QLD,70,28,2nd Floor,Chadstone,949,WA,3006831533,6843920359,jcicchillo1q@businessinsider.com,Dickson
MR,64,Willis,Tristan,Weinmann,Male,1989/11/13,11,18th Floor,Chadstone,921,NSW,99,32,10th Floor,Glen Waverley,248,NT,5843874545,2978601727,tweinmann1r@t-online.de,Calwell
MR,65,Chance,Gray,Sellen,Male,1985/08/10,7,Suite 57,Chadstone,326,NT,48,99,Suite 47,Glen Waverley,92,TA,7338965989,2996995835,gsellen1s@mtv.com,Gippsland
MR,66,Daniela,Lani,MacNalley,Female,1968/08/27,9,Suite 44,Chadstone,454,ACT,93,76,Room 1214,Chadstone,179,VIC,1114295876,6488419106,lmacnalley1t@typepad.com,Capricornia
MR,67,Trisha,Adara,Roll,Female,1974/07/30,4,Suite 59,Chadstone,658,VIC,56,57,Apt 1819,Chadstone,666,NT,7215022635,2391479609,aroll1u@epa.gov,Chisholm
MR,68,Whitaker,Bronnie,Kenrat,Male,1969/01/06,9,1st Floor,Chadstone,586,QLD,25,100,Room 624,Chadstone,60,NSW,2492502644,1966729218,bkenrat1v@trellian.com,Wright
MR,69,Kirk,Ellerey,Shyres,Male,2004/08/30,4,PO Box 33602,Chadstone,486,NT,6,59,PO Box 85550,Chadstone,496,TA,4717657370,1543735066,eshyres1w@t-online.de,Ballarat
MR,70,Helyn,Liza,Kindell,Agender,1994/02/04,2,Apt 163,Chadstone,932,QLD,64,50,Room 1722,Chadstone,192,QLD,3897107413,3327533257,lkindell1x@cdc.gov,Mallee
MR,71,Curtis,Perkin,Cartmail,Genderfluid,1999/03/15,5,Apt 595,Chadstone,658,NT,38,42,Suite 98,Chadstone,998,TA,9339005217,4167827838,pcartmail1y@ucla.edu,Hasluck
MR,72,Bernadene,Dulcie,Bleyman,Female,2006/06/30,11,Suite 88,Chadstone,431,QLD,94,61,Apt 1014,Glen Waverley,82,ACT,2175110701,9359789008,dbleyman1z@photobucket.com,Maribyrnong
MISS,73,Deni,Janene,Eichmann,Female,1995/10/14,5,Suite 68,Chadstone,367,ACT,76,98,PO Box 27491,Chadstone,644,NSW,3368499323,5366250043,jeichmann20@studiopress.com,Griffith
MR,74,Aurea,Annamarie,Hartzog,Female,1968/12/18,5,Room 290,Chadstone,582,WA,87,53,20th Floor,Chadstone,715,NSW,2727266025,1817511217,ahartzog21@gizmodo.com,Chifley
MISS,75,Bartlett,Bogey,McKeand,Male,1964/11/26,1,Apt 1760,Chadstone,868,TA,4,58,PO Box 57247,Chadstone,625,TA,3552787274,5683478877,bmckeand22@cafepress.com,Hotham
MR,76,Maurene,Belva,McDiarmid,Female,1976/02/24,5,Apt 456,Chadstone,138,ACT,91,64,18th Floor,Glen Waverley,370,SA,7175343819,2393561416,bmcdiarmid23@discovery.com,Chisholm
MISS,77,Witty,Gib,Rookwell,Male,1961/04/29,12,Apt 195,Chadstone,720,NSW,21,64,Suite 29,Chadstone,911,TA,3464256610,9586440421,grookwell24@miitbeian.gov.cn,Aston
MR,78,Evania,Cosimo,Kleinlerer,Agender,1964/08/30,9,Room 1996,Chadstone,924,WA,20,38,Suite 59,Chadstone,568,ACT,9445301093,4098025939,ckleinlerer25@illinois.edu,Swan
MR,79,Teresa,Zaneta,Jamme,Female,1988/02/23,6,PO Box 12930,Chadstone,714,TA,13,12,Room 1968,Glen Waverley,88,VIC,8095399602,6348313824,zjamme26@yahoo.co.jp,Kingsford Smith
MR,80,Caprice,Andonis,Eastby,Genderqueer,2002/09/14,5,Apt 227,Chadstone,584,ACT,64,8,Apt 1245,Chadstone,346,ACT,9878082933,2246567713,aeastby27@360.cn,Clark
MISS,81,Flint,Charlie,Queyos,Male,1972/10/04,5,PO Box 3063,Chadstone,273,SA,51,50,Room 1210,Glen Waverley,605,SA,9785736801,7233507646,cqueyos28@oracle.com,Moreton
MR,82,Whitby,Ravid,Yakubovics,Male,2003/05/18,12,2nd Floor,Chadstone,925,NT,7,65,Apt 1490,Chadstone,548,NT,3963142077,7881513015,ryakubovics29@yale.edu,Corangamite
MISS,83,Lonna,Rodi,Giacopetti,Female,1975/02/28,11,15th Floor,Chadstone,297,ACT,57,58,8th Floor,Chadstone,72,NSW,3601466078,9233723701,rgiacopetti2a@dot.gov,Moreton
MISS,84,Dona,Chere,Fennell,Female,1992/11/08,10,PO Box 51022,Chadstone,86,NT,90,35,14th Floor,Glen Waverley,608,WA,3365499206,9081903260,cfennell2b@lycos.com,Brisbane
MR,85,Sheri,Chrystal,Boatswain,Female,1994/12/20,10,Apt 1649,Chadstone,986,QLD,72,94,PO Box 64088,Glen Waverley,64,ACT,3103209478,4048150013,cboatswain2c@imgur.com,Richmond
MR,86,Ronny,Lancelot,Coots,Male,1967/02/05,7,Suite 3,Chadstone,414,ACT,90,50,Suite 48,Chadstone,465,ACT,2389777483,7727365416,lcoots2d@netscape.com,Hughes
MISS,87,Glenn,Berni,Shemilt,Female,1982/03/28,12,Apt 186,Chadstone,394,NT,45,75,Room 470,Glen Waverley,161,NSW,1885932483,2272488057,bshemilt2e@deliciousdays.com,Capricornia
MISS,88,Bram,Archie,Yepiskopov,Male,1983/12/07,12,Suite 77,Chadstone,220,NT,1,83,PO Box 29724,Glen Waverley,612,VIC,2967791947,8002647622,ayepiskopov2f@arstechnica.com,Maranoa
MR,89,Hestia,Conny,Haskayne,Female,1987/04/05,10,Suite 13,Chadstone,820,ACT,6,13,Suite 41,Chadstone,319,VIC,2355477151,9567319480,chaskayne2g@uol.com.br,Fowler
MR,90,Else,Matilde,Mackrill,Female,2003/09/07,7,Apt 90,Chadstone,787,NT,94,78,PO Box 39198,Glen Waverley,54,NT,3425749387,6538075579,mmackrill2h@yellowbook.com,Bowman
MR,91,Benedicto,Kelwin,Slamaker,Male,1965/12/29,11,Room 1223,Chadstone,19,QLD,84,16,Room 816,Chadstone,629,ACT,6957176987,7609006022,kslamaker2i@tiny.cc,Sturt
MR,92,Glynda,Adela,Bumpus,Female,1973/01/27,12,Suite 78,Chadstone,875,VIC,7,75,Suite 14,Glen Waverley,658,NT,7817867847,8715243814,abumpus2j@newsvine.com,Chisholm
MISS,93,Ulrica,Joana,Gaveltone,Female,1990/06/29,2,Apt 1846,Chadstone,50,QLD,95,83,PO Box 29664,Chadstone,958,QLD,1356100167,6674499262,jgaveltone2k@omniture.com,Macquarie
MISS,94,Cherry,Gerianne,Loddon,Female,1993/05/21,6,Room 1802,Chadstone,144,SA,94,36,Room 489,Chadstone,495,SA,7373231565,9629961070,gloddon2l@mlb.com,Shortland
MISS,95,Martina,Andi,Immings,Female,1993/05/25,8,PO Box 97354,Chadstone,656,TA,99,38,PO Box 79715,Chadstone,956,SA,4879283147,1826997254,aimmings2m@acquirethisname.com,Scullin
MISS,96,Truman,Aloin,Liddicoat,Male,1995/06/23,2,Room 1031,Chadstone,912,NSW,6,45,Suite 76,Glen Waverley,31,NT,4164333022,3657454314,aliddicoat2n@whitehouse.gov,Richmond
MR,97,Marielle,Bernardine,MacKilroe,Female,1995/03/04,9,PO Box 47298,Chadstone,879,ACT,60,49,12th Floor,Glen Waverley,908,ACT,8659097801,5238278568,bmackilroe2o@latimes.com,Barton
MR,98,Felice,Camala,Verriour,Female,1963/04/15,8,14th Floor,Chadstone,805,NT,99,21,Apt 393,Glen Waverley,180,SA,4666316217,7179873309,cverriour2p@icio.us,Kingston
MISS,99,Mady,Murielle,Cess,Female,1990/11/17,3,PO Box 87735,Chadstone,988,ACT,75,88,17th Floor,Glen Waverley,163,NSW,8968372652,3382265816,mcess2q@newsvine.com,Bonner
MISS,100,Hill,Lyon,Dumbar,Male,1974/12/01,2,Apt 749,Chadstone,349,VIC,100,42,Apt 555,Glen Waverley,41,WA,5705798370,6966994370,ldumbar2r@cisco.com,Capricornia
MISS,101,Luciana,Halli,Andrioni,Female,1980/06/25,4,Room 303,Chadstone,835,SA,37,93,Room 1682,Chadstone,205,SA,2014936137,4731462489,handrioni2s@hc360.com,Fadden
MR,102,Lea,Eadie,Dannatt,Female,1998/06/26,6,Suite 57,Chadstone,760,VIC,39,20,Room 1839,Glen Waverley,137,NSW,2919949793,5808578230,edannatt2t@nydailynews.com,Banks
MISS,103,Vinny,Curr,Pursehouse,Male,1999/01/12,11,Room 988,Chadstone,969,QLD,21,52,Suite 26,Glen Waverley,343,SA,5642749711,6365867506,cpursehouse2u@people.com.cn,Corio
MISS,104,Sheridan,Zacharias,Smithson,Male,1986/02/02,6,Apt 410,Chadstone,737,NSW,87,43,Apt 138,Chadstone,635,NSW,3849969411,9865895949,zsmithson2v@tinypic.com,Corangamite
MISS,105,Fina,Joanne,McKelvie,Female,1967/01/06,4,12th Floor,Chadstone,955,VIC,15,70,18th Floor,Chadstone,310,NSW,6612661037,3366059087,jmckelvie2w@ifeng.com,Calare
MISS,106,Gina,Ilsa,Blincowe,Female,1974/05/02,8,1st Floor,Chadstone,714,QLD,30,18,Apt 384,Chadstone,300,NSW,1559673236,6772042138,iblincowe2x@diigo.com,Hawke
MISS,107,Linette,Emiline,Caffrey,Female,1998/04/06,11,17th Floor,Chadstone,881,TA,64,35,Apt 1784,Chadstone,870,QLD,7375953564,5053346337,ecaffrey2y@ycombinator.com,Grayndler
MISS,108,Patrizia,Sheena,Boggon,Female,1983/06/21,2,Suite 27,Chadstone,852,NT,31,10,Apt 168,Chadstone,302,SA,3316684574,8096091233,sboggon2z@loc.gov,Indi
MISS,109,Graehme,Oliver,Bendson,Male,1968/11/26,6,10th Floor,Chadstone,292,QLD,77,41,PO Box 4833,Glen Waverley,147,TA,3121880962,8006405913,obendson30@dyndns.org,Calwell
MISS,110,Rand,Ervin,Boyford,Bigender,1982/08/05,10,Apt 1772,Chadstone,124,NSW,90,97,PO Box 52393,Chadstone,262,ACT,5002596961,6738224792,eboyford31@google.de,Cooper
MR,111,Farica,Babette,Dovidian,Genderfluid,2001/03/18,7,Room 1699,Chadstone,710,VIC,8,79,Room 840,Glen Waverley,769,ACT,4524801434,9903831455,bdovidian32@state.tx.us,Hasluck
MR,112,Betsy,Kakalina,Wakeham,Female,1992/02/13,3,Suite 5,Chadstone,242,WA,84,89,Room 720,Glen Waverley,694,NT,8851856501,9361283027,kwakeham33@wikispaces.com,Kooyong
MR,113,Lionello,Welsh,Calder,Male,2004/02/16,8,12th Floor,Chadstone,648,SA,66,93,Suite 42,Chadstone,414,TA,4884045193,5975152880,wcalder34@nytimes.com,Corio
MR,114,Amalia,Elnore,Chesman,Female,1967/03/26,7,PO Box 2497,Chadstone,428,WA,15,89,Suite 21,Chadstone,817,VIC,3502846682,1888071306,echesman35@upenn.edu,Newcastle
MR,115,Raynard,Sloan,Ramble,Male,1976/03/25,1,PO Box 60127,Chadstone,116,WA,50,75,Suite 43,Chadstone,282,TA,5018003107,4946207916,sramble36@reference.com,Ballarat
MR,116,Alex,Rafi,Bellelli,Male,1970/02/13,3,PO Box 637,Chadstone,168,NSW,42,39,Suite 100,Chadstone,365,NT,6443763233,4226559706,rbellelli37@dailymotion.com,Oxley
MISS,117,Rhonda,Philly,Longcake,Female,1983/08/29,2,Room 100,Chadstone,928,TA,37,3,Suite 6,Chadstone,182,WA,4753162687,7649666700,plongcake38@illinois.edu,Solomon
MR,118,Wyn,Troy,Teasey,Male,1981/06/21,7,Apt 1856,Chadstone,892,QLD,93,7,Room 52,Glen Waverley,361,ACT,1932731327,1891564387,tteasey39@123-reg.co.uk,Kingston
MISS,119,Horatio,Duffie,Morrall,Male,1997/01/25,12,2nd Floor,Chadstone,732,NSW,62,4,11th Floor,Chadstone,49,QLD,6447172494,6986305276,dmorrall3a@scientificamerican.com,Blair
MISS,120,Steffie,Bradly,Lean,Genderqueer,1963/02/10,4,Room 866,Chadstone,613,NSW,20,23,Room 1061,Glen Waverley,350,ACT,2794152003,1279763192,blean3b@bloglines.com,Groom
MISS,121,Vladimir,Terrence,Gurley,Male,1991/10/17,1,9th Floor,Chadstone,633,TA,51,94,Suite 93,Chadstone,670,NSW,3059712719,5178742018,tgurley3c@cdbaby.com,Werriwa
MISS,122,Roman,Doyle,Northin,Agender,1995/03/08,12,Apt 108,Chadstone,579,TA,45,53,PO Box 8967,Glen Waverley,156,ACT,1363035750,4008972413,dnorthin3d@networksolutions.com,Corangamite
MISS,123,Brigham,Angelico,Blackett,Male,1967/05/18,8,7th Floor,Chadstone,555,SA,86,15,Room 1114,Glen Waverley,950,WA,8706928129,3071173266,ablackett3e@umn.edu,Blaxland
MR,124,Chelsie,Abbie,Gillmore,Female,1969/10/14,11,Apt 1102,Chadstone,976,VIC,33,39,Suite 57,Glen Waverley,213,ACT,7569358729,3343499692,agillmore3f@facebook.com,Riverina
MISS,125,Gibby,Benson,Smaile,Male,2000/05/02,7,16th Floor,Chadstone,401,NSW,11,30,5th Floor,Glen Waverley,531,NSW,6276982434,7484605066,bsmaile3g@businessinsider.com,Lilley
MISS,126,Morrie,Matthaeus,Priest,Male,2002/04/10,2,Suite 60,Chadstone,754,NT,90,22,Suite 81,Chadstone,409,VIC,8637017534,2014476824,mpriest3h@mit.edu,Farrer
MR,127,Sebastian,Alberik,Sleit,Male,1962/04/20,12,Room 667,Chadstone,564,NT,61,23,Suite 73,Glen Waverley,547,VIC,8946644736,2178968299,asleit3i@ameblo.jp,Chifley
MISS,128,Kalvin,Iorgos,McTrustrie,Male,2000/12/02,4,Room 715,Chadstone,401,NSW,63,43,Apt 1420,Chadstone,923,VIC,9799946645,1137002854,imctrustrie3j@utexas.edu,Bonner
MR,129,Web,Winnie,Leglise,Male,1982/08/05,2,PO Box 43148,Chadstone,702,NT,73,30,Suite 47,Chadstone,522,QLD,6123110884,8105737873,wleglise3k@google.com.hk,Macquarie
MISS,130,Gisela,Anneliese,Bog,Female,2003/04/29,2,Suite 58,Chadstone,72,ACT,78,11,4th Floor,Chadstone,274,TA,1384058754,1403219698,abog3l@virginia.edu,Isaacs
MISS,131,Olvan,Jamey,Havock,Male,1967/01/08,9,PO Box 60954,Chadstone,143,SA,14,45,Room 245,Glen Waverley,266,VIC,6558505981,2534157545,jhavock3m@shutterfly.com,Dobell
MR,132,Ev,Rickard,Codner,Male,1981/06/27,5,Apt 221,Chadstone,801,NT,44,29,PO Box 16656,Glen Waverley,427,QLD,9269608139,2211469396,rcodner3n@networkadvertising.org,Holt
MISS,133,Fawn,Amitie,Glasspool,Female,2004/11/10,6,Room 1591,Chadstone,559,WA,24,19,Room 1152,Glen Waverley,329,TA,7729329700,6425432674,aglasspool3o@hud.gov,North Sydney
