id,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName
MR,20,Nollie,Andie,Eastabrook,Male,20/09/1977,3,Suite 80,Chadstone,68,NT,77,29,Suite 78,Chadstone,170,WA,9055067427,1501618009,aeastabrookj@sohu.com,Adelaide
MISS,21,Neddie,Maddy,Wicken,Agender,27/06/1995,1,Room 1192,Chadstone,866,ACT,3,16,PO Box 51596,Chadstone,535,ACT,2414433996,3034230450,mwickenk@thetimes.co.uk,Adelaide
MISS,22,Garnette,Marris,Hadigate,Genderqueer,28/11/1981,2,Apt 1835,Chadstone,63,VIC,61,35,Apt 653,Glen Waverley,684,QLD,2862338851,1281123450,mhadigatel@stumbleupon.com,Adelaide
MR,23,Yolande,Vikky,Giddins,Female,5/02/1961,6,Apt 999,Chadstone,482,TA,32,37,3rd Floor,Glen Waverley,743,ACT,1003632253,3745182356,vgiddinsm@icio.us,Adelaide
MR,24,Godfry,Martino,Najera,Male,26/03/1992,2,Apt 1683,Chadstone,254,TA,94,41,10th Floor,Chadstone,946,NT,8426747660,6349414912,mnajeran@flickr.com,Adelaide
MISS,25,Patricia,Ophelie,Goodson,Female,8/07/1981,2,Room 1357,Chadstone,888,NSW,24,38,Apt 324,Chadstone,203,WA,8968174015,4946818600,ogoodsono@irs.gov,Adelaide
MR,26,Lowe,Orland,Sherrett,Male,13/10/1998,12,PO Box 39560,Chadstone,272,NT,37,49,Suite 66,Glen Waverley,911,NSW,5203846635,9136766149,osherrettp@gravatar.com,Adelaide
MR,27,Orion,Cullie,Flageul,Male,31/07/1972,6,Room 17,Chadstone,856,NSW,2,43,1st Floor,Glen Waverley,235,QLD,9288300709,1352205586,cflageulq@usa.gov,Adelaide
MR,28,Barbie,Helen-elizabeth,Newns,Female,1/06/1984,3,Suite 94,Chadstone,307,VIC,73,86,2nd Floor,Glen Waverley,854,SA,2025940851,5766789411,hnewnsr@cocolog-nifty.com,Adelaide
MISS,29,Demetre,Erhart,Mitroshinov,Male,14/11/2004,12,Apt 115,Chadstone,443,WA,13,19,PO Box 43164,Chadstone,609,NT,3483499961,2512531164,emitroshinovs@nydailynews.com,Adelaide
MR,30,Casandra,Fiona,Sarsfield,Female,4/05/1979,10,Room 58,Chadstone,932,VIC,1,55,PO Box 65477,Chadstone,629,WA,5569989464,3311250201,fsarsfieldt@nba.com,Adelaide
MR,31,Rozina,Veriee,Gavaran,Female,16/09/1988,3,Suite 24,Chadstone,635,QLD,93,65,PO Box 91975,Chadstone,245,TA,8501947530,8956418502,vgavaranu@sfgate.com,Adelaide
MR,32,Florian,Robinette,Paliser,Non-binary,15/04/1984,12,Room 1,Chadstone,841,NSW,87,9,Suite 75,Glen Waverley,426,QLD,2218096438,5617736076,rpaliserv@springer.com,Adelaide
MISS,33,Staci,Cris,Waistall,Female,25/03/1973,5,Room 296,Chadstone,997,QLD,46,22,Room 452,Glen Waverley,115,VIC,2913477975,9295842347,cwaistallw@github.com,Adelaide
MR,34,Lorrie,Glyn,Peyro,Female,6/04/1976,7,Room 730,Chadstone,122,WA,51,29,Apt 1897,Glen Waverley,870,WA,1385074009,7781844077,gpeyrox@google.com.hk,Adelaide
MISS,35,Anselma,Carolee,Roast,Female,11/11/1992,10,2nd Floor,Chadstone,737,TA,90,90,Suite 83,Chadstone,531,QLD,6536149406,1128927406,croasty@biglobe.ne.jp,Adelaide
MR,36,Elisa,Christabella,Riepel,Female,4/09/1991,6,Apt 1496,Chadstone,43,ACT,48,3,8th Floor,Glen Waverley,789,WA,9244118961,9685385687,criepelz@illinois.edu,Adelaide
MR,37,Barron,Ruy,Bartholomieu,Male,4/03/1968,9,Apt 1432,Chadstone,532,VIC,6,87,PO Box 51357,Glen Waverley,675,VIC,3536811052,6857396815,rbartholomieu10@senate.gov,Adelaide
MISS,38,Huntlee,Ed,Byfford,Male,24/04/1961,4,Room 454,Chadstone,458,SA,68,64,Room 1324,Glen Waverley,634,SA,3343396123,1919107652,ebyfford11@cbc.ca,Adelaide
MR,39,Leyla,Kariotta,Naerup,Female,24/12/1989,3,PO Box 63406,Chadstone,580,TA,41,83,Room 814,Chadstone,176,ACT,3944160269,7849909810,knaerup12@tamu.edu,Adelaide
MISS,40,Mauricio,Alvis,Izkovitch,Male,29/06/2003,12,PO Box 14087,Chadstone,413,SA,12,62,Room 1629,Chadstone,935,TA,7638709873,1207002203,aizkovitch13@amazon.com,Adelaide
MR,41,Geralda,Marga,Collard,Female,1/10/1985,5,10th Floor,Chadstone,867,NSW,87,95,PO Box 99964,Glen Waverley,448,ACT,1271482197,6621195039,mcollard14@drupal.org,Adelaide
MISS,42,Vitia,Ursula,Ibbitson,Female,30/09/2003,6,Apt 72,Chadstone,798,ACT,38,72,PO Box 14166,Chadstone,723,NT,3231365250,3825217455,uibbitson15@canalblog.com,Adelaide
MR,43,Jeannette,Luelle,McCaughran,Female,17/04/1963,12,Room 812,Chadstone,705,QLD,58,19,PO Box 75075,Chadstone,257,ACT,8142730777,5046883227,lmccaughran16@usgs.gov,Adelaide
MISS,44,Sabrina,Christine,Echallier,Genderfluid,19/12/2003,12,Apt 949,Chadstone,547,NSW,71,78,19th Floor,Glen Waverley,777,NSW,4164313549,2881438491,cechallier17@msu.edu,Adelaide
MR,45,Chickie,Decca,McConigal,Male,9/01/1982,5,Apt 1464,Chadstone,627,SA,97,59,18th Floor,Glen Waverley,332,WA,3393940839,3671656416,dmcconigal18@alibaba.com,Adelaide
MISS,46,Tyne,Gale,Kainz,Female,14/02/2000,9,Apt 428,Chadstone,451,NT,2,43,PO Box 7188,Chadstone,8,WA,9088829739,3354411383,gkainz19@cpanel.net,Adelaide
MR,47,Margarita,Grissel,Rosenbusch,Female,26/10/1960,5,18th Floor,Chadstone,736,ACT,58,27,PO Box 99101,Chadstone,418,QLD,5098507856,6136707570,grosenbusch1a@ocn.ne.jp,Adelaide
MISS,48,Lind,Vasily,Botterell,Male,7/06/1965,8,Room 1917,Chadstone,38,ACT,27,60,10th Floor,Glen Waverley,435,SA,1731372937,6681620134,vbotterell1b@about.me,Adelaide
MR,49,Cesar,Normie,Allridge,Male,8/04/1996,1,Room 377,Chadstone,81,NT,12,80,Apt 57,Glen Waverley,454,QLD,5919608059,5829576841,nallridge1c@usatoday.com,Adelaide
MISS,50,Lodovico,Waiter,Coulling,Male,23/05/1997,2,Apt 805,Chadstone,145,NT,63,100,PO Box 20516,Glen Waverley,735,QLD,3497597566,5328316804,wcoulling1d@amazon.co.uk,Adelaide
MR,51,Alexandra,Alfie,Arcase,Female,15/01/1984,12,Room 1993,Chadstone,41,VIC,22,7,Apt 1751,Chadstone,247,NSW,4595428929,8401882036,aarcase1e@wikipedia.org,Adelaide
MR,52,Gustavus,Ganny,Orsi,Male,29/03/1990,1,Apt 1153,Chadstone,910,TA,64,100,3rd Floor,Glen Waverley,433,QLD,3295312920,9881949738,gorsi1f@indiegogo.com,Adelaide
MISS,53,Enrico,Lindy,Bisset,Bigender,24/02/1961,5,5th Floor,Chadstone,74,ACT,25,2,Apt 111,Glen Waverley,919,TA,8732996509,7965465569,lbisset1g@ucoz.com,Adelaide
MISS,54,Marve,Alic,Riddel,Male,10/12/1969,8,Apt 32,Chadstone,478,ACT,42,75,17th Floor,Glen Waverley,620,WA,7251674540,7705829880,ariddel1h@aol.com,Adelaide
MISS,55,Winslow,Hilario,Saphir,Male,23/12/1997,4,Apt 1621,Chadstone,152,QLD,88,74,1st Floor,Glen Waverley,746,WA,8972939135,9131074189,hsaphir1i@ibm.com,Adelaide
MR,56,Dimitry,Eartha,Quene,Genderfluid,10/08/1999,1,Suite 54,Chadstone,21,SA,41,86,Apt 363,Chadstone,322,NT,7678115270,4388037074,equene1j@wix.com,Adelaide
MISS,57,Grenville,Mattheus,Blewitt,Male,7/03/1965,11,Room 1814,Chadstone,598,NSW,41,93,Room 155,Glen Waverley,382,NSW,5679625373,7767641173,mblewitt1k@studiopress.com,Adelaide
MR,58,Melody,Stacie,Nesby,Female,7/03/2001,11,Apt 1362,Chadstone,769,NSW,28,99,Apt 523,Chadstone,359,VIC,4277248767,2981173185,snesby1l@indiegogo.com,Adelaide
MR,59,Joyan,Elvira,Hedlestone,Genderqueer,13/08/2001,10,3rd Floor,Chadstone,506,NT,73,80,Suite 80,Glen Waverley,696,NT,6322952393,9562470941,ehedlestone1m@flavors.me,Adelaide
MISS,60,Erna,Ly,Nagle,Polygender,28/01/1977,2,Apt 1857,Chadstone,622,VIC,39,92,1st Floor,Glen Waverley,588,QLD,4314135152,1785783135,lnagle1n@reference.com,Adelaide
MISS,61,Bartlett,Witty,Padilla,Male,18/12/1993,9,PO Box 92488,Chadstone,489,SA,79,8,PO Box 9299,Glen Waverley,126,WA,2435560551,9495791510,wpadilla1o@google.pl,Adelaide
MR,62,Jackie,Benoite,Reddings,Female,27/05/2002,9,PO Box 75191,Chadstone,605,QLD,22,26,PO Box 98463,Glen Waverley,346,SA,7789256255,1947935963,breddings1p@trellian.com,Adelaide
MISS,63,Skipp,Saul,Coughlan,Male,3/03/1992,8,Room 1961,Chadstone,271,VIC,56,54,Apt 851,Glen Waverley,448,QLD,2438874075,5146305078,scoughlan1q@wp.com,Adelaide
MISS,64,Irwinn,Clyve,Gifkins,Genderqueer,10/07/1989,7,Suite 81,Chadstone,508,VIC,39,89,Suite 42,Glen Waverley,208,WA,8598346417,8256759752,cgifkins1r@csmonitor.com,Adelaide
MR,65,Stefanie,Breanne,Spilstead,Female,23/09/1986,8,Room 678,Chadstone,672,WA,84,75,Room 86,Chadstone,111,SA,2702853029,8808151929,bspilstead1s@hostgator.com,Adelaide
MR,66,Joletta,Gabbie,Bris,Female,7/05/1989,5,Room 296,Chadstone,933,QLD,75,15,Room 1723,Glen Waverley,27,ACT,5473276356,7778631627,gbris1t@google.pl,Adelaide
MISS,67,Brinna,Francisca,Erbe,Female,7/01/2003,11,Suite 68,Chadstone,976,QLD,30,6,PO Box 96325,Glen Waverley,966,NSW,9087402172,5809874694,ferbe1u@indiatimes.com,Adelaide
MISS,68,Wang,Judd,Kenefick,Male,11/11/1984,7,Suite 4,Chadstone,449,VIC,48,28,Room 890,Chadstone,878,VIC,7514454929,7511306918,jkenefick1v@foxnews.com,Adelaide
MISS,69,Harriet,Joscelin,Norway,Female,20/09/1987,9,PO Box 73496,Chadstone,995,WA,99,65,20th Floor,Chadstone,553,TA,9422591295,2509697475,jnorway1w@archive.org,Adelaide
MR,70,Roderic,Heath,Leal,Male,22/05/1987,8,17th Floor,Chadstone,164,QLD,71,8,1st Floor,Glen Waverley,305,VIC,1876403343,7982626824,hleal1x@ehow.com,Adelaide
MR,71,Klaus,Wilbert,Samme,Male,20/02/2003,7,Apt 445,Chadstone,221,SA,5,66,Apt 1602,Chadstone,934,QLD,6109630943,8032534559,wsamme1y@nyu.edu,Adelaide
MR,72,Farly,Obadiah,Soppeth,Male,16/08/1970,10,Suite 96,Chadstone,498,ACT,41,88,Suite 98,Glen Waverley,869,SA,8657390919,1508527829,osoppeth1z@cloudflare.com,Adelaide
MISS,73,Kate,Nancee,Lammert,Female,8/03/2004,12,PO Box 35461,Chadstone,570,TA,14,24,PO Box 88358,Glen Waverley,602,WA,1722574419,4147937211,nlammert20@behance.net,Adelaide
MR,74,Mendel,Eben,Mahomet,Male,10/09/1998,8,Room 481,Chadstone,662,SA,6,84,Apt 1429,Chadstone,422,VIC,8008486803,6116377991,emahomet21@techcrunch.com,Adelaide
MISS,75,Eugenia,Ethelind,Astle,Female,12/01/1972,1,Room 710,Chadstone,484,NSW,18,38,Suite 98,Glen Waverley,690,NT,3437643662,1803156598,eastle22@springer.com,Adelaide
MR,1,Nina,Bernardine,Moehler,Female,29/08/2002,9,Apt 1178,Chadstone,855,QLD,42,86,Suite 68,Glen Waverley,90,VIC,9373316429,9789428567,bmoehler0@telegraph.co.uk,Eden-Monaro
MISS,2,Kerwin,Moshe,Tittletross,Male,2/10/1991,5,Suite 6,Chadstone,960,TA,14,32,PO Box 50704,Glen Waverley,944,TA,5689670562,3386349730,mtittletross1@si.edu,Cowper Cunningham
MISS,3,Lelia,Patty,Stud,Female,14/10/1966,6,Apt 861,Chadstone,733,WA,84,5,PO Box 52590,Glen Waverley,825,WA,1331093023,2183031851,pstud2@biglobe.ne.jp,Scullin
MISS,4,Dari,Jesus,Fynan,Genderfluid,21/08/1979,12,16th Floor,Chadstone,212,QLD,14,4,Apt 206,Chadstone,139,ACT,7115263162,4031761864,jfynan3@webeden.co.uk,Solomon
MISS,5,Philis,Kellsie,Pellew,Female,8/04/1981,9,Suite 18,Chadstone,221,ACT,92,15,Apt 1470,Chadstone,611,VIC,5544601828,1846646983,kpellew4@whitehouse.gov,Higgins
MR,6,Gino,Finlay,Brain,Male,23/08/1995,10,Apt 643,Chadstone,540,TA,12,44,Room 1245,Chadstone,725,QLD,9768551035,9112330043,fbrain5@loc.gov,Bean
MISS,7,Ruby,Duncan,Krout,Male,27/07/1963,4,Apt 951,Chadstone,556,TA,35,70,Room 1260,Glen Waverley,32,NT,1314732515,4829066477,dkrout6@rediff.com,Bendigo
MISS,8,Adele,Jaine,de Verson,Female,23/12/1993,2,Apt 682,Chadstone,710,TA,83,57,Suite 74,Chadstone,569,NSW,6825632837,3199340249,jdeverson7@shop-pro.jp,McMahon
MISS,9,Ardenia,Delia,O'Flaverty,Non-binary,11/08/1977,11,14th Floor,Chadstone,579,VIC,38,97,7th Floor,Glen Waverley,235,QLD,9509078898,2424159562,doflaverty8@google.com.br,Flinders
MISS,10,Mignonne,Gabriellia,Bockh,Female,5/08/1976,11,6th Floor,Chadstone,48,ACT,81,21,3rd Floor,Chadstone,13,TA,7015075398,8575719791,gbockh9@archive.org,Barker
MISS,11,Hyatt,Langsdon,Vickar,Male,1/06/2003,1,Apt 813,Chadstone,148,NT,88,59,Apt 1632,Glen Waverley,840,QLD,3195306158,5648588803,lvickara@cafepress.com,Brand
MISS,12,Romeo,Goober,Adaway,Male,22/11/1994,12,Suite 87,Chadstone,323,QLD,51,54,PO Box 90405,Glen Waverley,121,ACT,6299921238,1921180104,gadawayb@paginegialle.it,Lingiari
MR,13,Hetty,Sibylle,Parminter,Female,25/11/1984,8,Suite 53,Chadstone,157,QLD,10,9,Apt 1986,Glen Waverley,407,NT,8376840008,1247375366,sparminterc@webeden.co.uk,Kooyong
MR,14,Corbett,Dylan,Louisot,Agender,9/11/1961,2,Apt 1333,Chadstone,734,NT,23,4,Apt 482,Chadstone,905,NT,2765879517,5159339068,dlouisotd@usnews.com,Grayndler
MISS,15,Rasla,Chelsy,Aliberti,Female,2/12/1988,9,PO Box 71133,Chadstone,106,QLD,88,5,Room 876,Glen Waverley,135,NT,3913312173,2318235976,calibertie@loc.gov,Werriwa
MISS,16,Kathleen,Portia,Bugg,Female,12/01/1997,1,Apt 1816,Chadstone,19,VIC,90,80,Room 345,Glen Waverley,238,NSW,2179385332,5783419908,pbuggf@list-manage.com,Nicholls
MR,17,Rosamond,Lesley,Carlino,Female,18/06/1998,8,Suite 92,Chadstone,804,VIC,1,63,10th Floor,Chadstone,997,WA,9038740446,3132251176,lcarlinog@nhs.uk,Robertson
MISS,18,Haslett,Jerry,Checcucci,Male,29/04/2003,5,Room 420,Chadstone,404,TA,2,62,Suite 20,Glen Waverley,73,SA,2169024333,8931185269,jcheccuccih@berkeley.edu,Hume
MR,19,Mohandas,Garrett,Kix,Male,27/03/1968,10,Suite 80,Chadstone,482,QLD,63,11,3rd Floor,Chadstone,836,QLD,4365545254,3563849199,gkixi@google.nl,Scullin
MISS,20,Marjorie,Pietra,Buttrick,Polygender,22/11/1984,2,8th Floor,Chadstone,737,SA,36,56,Apt 948,Glen Waverley,886,NT,4636036863,5686836258,pbuttrickj@lycos.com,Blaxland
MR,21,Konrad,Hayward,Stayte,Male,14/05/1963,9,Room 1741,Chadstone,408,VIC,74,13,Suite 29,Glen Waverley,315,WA,5419355081,2937488212,hstaytek@google.com,Barton
MISS,22,Conway,Roderigo,Balffye,Male,24/05/2004,8,Suite 53,Chadstone,155,TA,7,81,Room 212,Chadstone,67,QLD,7735621813,7376099785,rbalffyel@nature.com,Swan
MR,23,Izzy,Archambault,Spedroni,Male,14/06/2005,4,Room 1810,Chadstone,529,NSW,62,95,8th Floor,Chadstone,47,VIC,1059881950,5223879898,aspedronim@homestead.com,Lyons
MR,24,Stefan,Baron,Risborough,Male,13/01/2001,2,PO Box 89914,Chadstone,798,ACT,83,72,4th Floor,Chadstone,756,QLD,7108605044,9798074759,brisboroughn@oracle.com,Solomon
MISS,25,Lia,Noel,Dallyn,Female,9/02/1985,6,9th Floor,Chadstone,604,WA,79,10,Suite 65,Glen Waverley,756,NSW,5328947988,6804913389,ndallyno@sun.com,Spence
MISS,26,Rossy,Albrecht,Rive,Male,27/04/1969,11,1st Floor,Chadstone,637,WA,30,74,PO Box 46336,Glen Waverley,600,NT,5952042178,5298917941,arivep@dedecms.com,Hunter
MISS,27,Livia,Herta,Rolston,Female,28/05/1966,12,Suite 2,Chadstone,904,SA,80,69,Apt 539,Glen Waverley,993,TA,1974714811,1376044062,hrolstonq@digg.com,Capricornia
MR,28,Purcell,Cletus,Dummigan,Male,31/05/1968,10,Room 1243,Chadstone,255,QLD,83,8,14th Floor,Chadstone,687,ACT,8919543799,7191220833,cdummiganr@bing.com,Oxley
MR,29,Terrel,Francklin,Haylock,Male,17/10/1966,8,PO Box 79606,Chadstone,435,WA,40,72,Apt 1536,Glen Waverley,442,SA,9615687171,1809870893,fhaylocks@1und1.de,Hotham
MISS,30,Winifield,Taylor,Furmston,Male,30/07/1967,6,20th Floor,Chadstone,346,VIC,17,92,4th Floor,Glen Waverley,672,NSW,3848054485,4019802288,tfurmstont@imageshack.us,Richmond
MR,31,Bennett,Thalia,Spalton,Genderfluid,6/02/2004,6,17th Floor,Chadstone,285,NSW,17,70,Apt 398,Glen Waverley,65,TA,3061385291,4588127478,tspaltonu@mlb.com,Goldstein
MISS,32,Jessamine,Harriet,Pether,Non-binary,1/06/2004,6,Room 544,Chadstone,138,WA,38,46,13th Floor,Chadstone,63,NT,3444057934,8781721674,hpetherv@google.ru,Forde
MR,33,Iggie,Alex,Corck,Male,3/11/1974,11,Apt 97,Chadstone,11,QLD,37,70,15th Floor,Glen Waverley,559,QLD,3583078472,8379552294,acorckw@nature.com,Nicholls
MR,34,Archie,Terrence,Elias,Male,31/05/2006,4,Room 1294,Chadstone,289,NT,90,66,Room 1303,Glen Waverley,309,NSW,4812460618,2007133112,teliasx@xinhuanet.com,Durack
MR,35,Ada,Margi,Balint,Female,14/05/1961,10,Room 221,Chadstone,561,NT,26,68,Suite 55,Glen Waverley,234,NT,2984166684,7738584253,mbalinty@google.es,Canning
MR,36,Caddric,Skippy,Costar,Male,26/04/1993,1,Suite 58,Chadstone,38,TA,23,53,2nd Floor,Chadstone,462,TA,1772273895,7415405512,scostarz@nydailynews.com,Gilmore
MISS,37,Bethina,Cahra,Rudderham,Female,10/10/1994,3,Apt 266,Chadstone,821,ACT,97,22,Suite 22,Glen Waverley,899,QLD,4769789209,9537368343,crudderham10@feedburner.com,Fraser
MISS,38,Esme,Noel,Wigsell,Bigender,14/02/1994,6,Apt 195,Chadstone,58,NT,14,36,Suite 79,Chadstone,987,SA,9487868222,6246494301,nwigsell11@umich.edu,Barton
MR,39,Cleveland,Nobe,Boxell,Male,24/03/2000,9,Apt 46,Chadstone,892,TA,69,69,Suite 33,Glen Waverley,891,NT,7478138774,9418605452,nboxell12@forbes.com,McEwen
MR,40,Sammy,Dav,Adaway,Male,13/04/1964,8,Apt 537,Chadstone,15,VIC,99,19,2nd Floor,Glen Waverley,489,WA,4999811739,6579376967,dadaway13@wikia.com,Holt
MISS,41,Jarrad,Free,Golagley,Male,21/09/1964,3,Apt 1510,Chadstone,757,WA,91,67,Suite 52,Glen Waverley,599,NSW,9296540542,5666973122,fgolagley14@seattletimes.com,Casey
MISS,42,Chev,Ailbert,Dew,Male,24/06/1984,2,Suite 48,Chadstone,227,NT,39,77,Suite 65,Chadstone,578,TA,6202201351,5562947580,adew15@state.gov,Bean
MISS,43,Rickard,Terrel,Aspey,Male,7/07/2002,1,Suite 30,Chadstone,1000,ACT,77,53,Room 425,Glen Waverley,862,TA,7119488344,6543423368,taspey16@google.co.uk,Menzies
MR,44,Amye,Melodie,Job,Female,5/07/1969,6,Room 1678,Chadstone,51,VIC,1,85,PO Box 43494,Glen Waverley,347,TA,9151812215,7467456130,mjob17@wix.com,Gippsland
MR,45,Geordie,Marylee,Duffer,Agender,18/05/1974,1,Suite 43,Chadstone,50,TA,73,65,Apt 33,Chadstone,138,SA,8289608061,6438396843,mduffer18@ow.ly,Forde
MR,46,Katrinka,Obidiah,Teenan,Non-binary,28/05/2001,5,Suite 31,Chadstone,181,WA,89,48,PO Box 72800,Chadstone,966,SA,1705445473,5887232102,oteenan19@baidu.com,Holt
MR,47,Francis,Germaine,Brodbin,Male,1/06/1992,5,Room 214,Chadstone,299,VIC,18,59,PO Box 18329,Glen Waverley,908,NT,4841398913,9163567999,gbrodbin1a@chronoengine.com,Kooyong
MISS,48,Trefor,Derrek,Marzele,Male,1/01/2005,8,3rd Floor,Chadstone,214,NT,42,63,Suite 48,Glen Waverley,184,QLD,7317698434,5277395143,dmarzele1b@imgur.com,Lingiari
MISS,49,Ira,Derrick,Scuse,Male,27/10/1980,8,PO Box 40150,Chadstone,191,WA,33,99,PO Box 59047,Chadstone,722,SA,6671959774,8157599586,dscuse1c@reverbnation.com,Warringah
MR,50,Isahella,Darlene,Bang,Female,15/11/1967,5,Suite 21,Chadstone,19,VIC,95,33,Suite 83,Glen Waverley,714,QLD,8516783375,9746289428,dbang1d@craigslist.org,Sturt
MISS,51,Saloma,Chastity,Farmloe,Female,15/12/1992,6,Room 1049,Chadstone,456,QLD,36,88,PO Box 74025,Chadstone,518,ACT,3795221886,8067696305,cfarmloe1e@macromedia.com,Maribyrnong
MR,52,Beau,Dominick,Venny,Male,28/10/1995,4,Room 231,Chadstone,1000,NT,20,61,Suite 39,Chadstone,599,ACT,4177057433,2697119457,dvenny1f@xrea.com,Page
MR,53,Pansy,Moselle,Krysztowczyk,Female,2/10/1997,12,18th Floor,Chadstone,507,VIC,49,96,Suite 24,Glen Waverley,567,ACT,9165899718,5412883314,mkrysztowczyk1g@pcworld.com,Wannon
MR,54,Alfy,Samson,Trustey,Male,7/02/1993,8,Suite 68,Chadstone,346,VIC,1,57,PO Box 1997,Glen Waverley,864,QLD,2798712434,2456527961,strustey1h@webs.com,Kingsford Smith
MR,55,Correy,Shannon,Carmo,Male,22/04/1986,7,PO Box 39899,Chadstone,663,NSW,64,6,Suite 92,Glen Waverley,403,WA,9765744401,1316621277,scarmo1i@comsenz.com,Corio
MISS,56,Jilleen,Ange,Wainscot,Female,7/11/1983,2,PO Box 86483,Chadstone,461,QLD,68,71,Room 944,Glen Waverley,318,SA,6005149079,6358741723,awainscot1j@mac.com,Barton
MISS,57,Donal,Dominick,Gatus,Male,13/01/1974,5,Room 1776,Chadstone,436,WA,38,46,Suite 23,Glen Waverley,381,NSW,4282249695,3475802057,dgatus1k@ucla.edu,Corio
MISS,58,Sabra,Misha,Silveston,Female,15/06/1977,4,6th Floor,Chadstone,512,SA,56,7,Room 1524,Chadstone,285,VIC,2697904099,5291149396,msilveston1l@globo.com,Grey
